*******************************************************************************
JPL/HORIZONS                 NEOWISE (C/2020 F3)           2020-Jul-12 14:09:58
Rec #:90004465 (+COV) Soln.date: 2020-Jul-09_22:14:14      # obs: 353 (70 days)
 
IAU76/J2000 helio. ecliptic osc. elements (au, days, deg., period=Julian yrs):
 
  EPOCH=  2458959.5 ! 2020-Apr-20.0000000 (TDB)    RMSW= n.a.
   EC= .9991763725273224   QR= .2946769923420814   TP= 2459034.1806297745
   OM= 61.00969983840079   W= 37.2766782349599     IN= 128.9375088727702
   A= 357.7794599105425    MA= 359.9891235056308   ADIST= 715.264242828743
   PER= 6767.5476227649    N= .00014564            ANGMOM= .013203228
   DAN= .32818             DDN= 2.87462            L= 35.4449462
   B= 28.1060601           MOID= .36250901         TP= 2020-Jul-03.6806297745
 
Comet physical (GM= km^3/s^2; RAD= km):
   GM= n.a.                RAD= n.a.
   M1=  10.8     M2=  14.9     k1=  17.5   k2=  5.      PHCOF=  .030
 
COMET comments 
1: soln ref.= JPL#11, data arc: 2020-03-27 to 2020-06-05
2: k1=17.5, k2=5., phase coef.=0.03;
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Sun Jul 12 14:09:58 2020 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: NEOWISE (C/2020 F3)             {source: JPL#11}
Center body name: Sun (10)                        {source: DE431}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2020-Jul-01 00:00:00.0000 TDB
Stop  time      : A.D. 2020-Sep-01 00:00:00.0000 TDB
Step-size       : 1440 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 696000.0 x 696000.0 x 696000.0 k{Equator, meridian, pole}    
Keplerian GM    : 2.9591220828559093E-04 au^3/d^2
Small perturbers: Yes                             {source: SB431-N16}
Output units    : AU-D, deg, Julian Day Number (Tp)
Output type     : GEOMETRIC osculating elements
Output format   : 10
Reference frame : Ecliptic of J2000.0
*******************************************************************************
Initial IAU76/J2000 heliocentric ecliptic osculating elements (au, days, deg.):
  EPOCH=  2458959.5 ! 2020-Apr-20.0000000 (TDB)    RMSW= n.a.                  
   EC= .9991763725273224   QR= .2946769923420814   TP= 2459034.1806297745      
   OM= 61.00969983840079   W= 37.2766782349599     IN= 128.9375088727702       
  Equivalent ICRF heliocentric equatorial cartesian coordinates (au, au/d):
   X=-9.871918270910677E-01  Y= 9.148682433082536E-01  Z=-1.045158428235309E+00
  VX= 1.328250143789295E-02 VY=-2.591890035806930E-03 VZ= 1.278001286642096E-02
Comet physical (GM= km^3/s^2; RAD= km):                                        
   GM= n.a.                RAD= n.a.                                           
   M1=  10.8     M2=  14.9     k1=  17.5   k2=  5.      PHCOF=  .030           
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                     EC,                     QR,                     IN,                     OM,                      W,                     Tp,                      N,                     MA,                     TA,                      A,                     AD,                     PR,
**************************************************************************************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2459031.500000000, A.D. 2020-Jul-01 00:00:00.0000,  9.991801639466763E-01,  2.946876521860718E-01,  1.289373996863601E+02,  6.101032539985726E+01,  3.727562026852095E+01,  2.459034180667750E+06,  1.446277685024335E-04,  3.599996123010052E+02,  3.372611974963713E+02,  3.594470516285793E+02,  7.185994156049726E+02,  2.489148548219097E+06,
2459032.500000000, A.D. 2020-Jul-02 00:00:00.0000,  9.991800390365889E-01,  2.946876513471181E-01,  1.289373981821189E+02,  6.101032475222845E+01,  3.727562145989288E+01,  2.459034180668000E+06,  1.446608235737910E-04,  3.599997568731830E+02,  3.455150320728198E+02,  3.593922936543367E+02,  7.184898996573263E+02,  2.488579776516792E+06,
2459033.500000000, A.D. 2020-Jul-03 00:00:00.0000,  9.991799301936932E-01,  2.946876507187993E-01,  1.289373970115460E+02,  6.101032398867481E+01,  3.727562265710379E+01,  2.459034180668224E+06,  1.446896287472361E-04,  3.599999015143674E+02,  3.540809818913942E+02,  3.593445929266061E+02,  7.183944982024935E+02,  2.488084343826038E+06,
2459034.500000000, A.D. 2020-Jul-04 00:00:00.0000,  9.991798430900845E-01,  2.946876506049795E-01,  1.289373961795228E+02,  6.101032322601261E+01,  3.727562404576192E+01,  2.459034180668443E+06,  1.447126817285289E-04,  4.621132605647345E-05,  2.780727818810271E+00,  3.593064291018620E+02,  7.183181705531189E+02,  2.487687987672949E+06,
2459035.500000000, A.D. 2020-Jul-05 00:00:00.0000,  9.991797817941959E-01,  2.946876513707513E-01,  1.289373956747925E+02,  6.101032259849287E+01,  3.727562588655169E+01,  2.459034180668686E+06,  1.447289045079159E-04,  1.909453757972269E-04,  1.141714585251301E+01,  3.592795786356879E+02,  7.182644696200050E+02,  2.487409140724269E+06,
2459036.500000000, A.D. 2020-Jul-06 00:00:00.0000,  9.991797481235868E-01,  2.946876534608840E-01,  1.289373954665971E+02,  6.101032225455386E+01,  3.727562847356592E+01,  2.459034180668986E+06,  1.447378149141176E-04,  3.356949030330600E-04,  1.980212828390960E+01,  3.592648330773816E+02,  7.182349785013024E+02,  2.487256009865918E+06,
2459037.500000000, A.D. 2020-Jul-07 00:00:00.0000,  9.991797415032614E-01,  2.946876573723486E-01,  1.289373955022459E+02,  6.101032235170978E+01,  3.727563208377182E+01,  2.459034180669371E+06,  1.447395643234525E-04,  4.804384691460871E-04,  2.778133184427961E+01,  3.592619382111359E+02,  7.182291887648995E+02,  2.487225947395423E+06,
2459038.500000000, A.D. 2020-Jul-08 00:00:00.0000,  9.991797592441671E-01,  2.946876635882162E-01,  1.289373957060196E+02,  6.101032304915293E+01,  3.727563693250575E+01,  2.459034180669856E+06,  1.447348640345761E-04,  6.251576611673682E-04,  3.524830012685013E+01,  3.592697162299913E+02,  7.182447447963945E+02,  2.487306720473366E+06,
