*******************************************************************************
 Revised: January 23, 2020             Saturn                               699
 
 PHYSICAL DATA (updated 2020-Jan-03):
  Mass x10^26 (kg)      = 5.6834          Density (g/cm^3)       =  0.687+-.001
  Equat. radius (1 bar) = 60268+-4 km     Polar radius (km)      = 54364+-10
  Vol. Mean Radius (km) = 58232+-6        Flattening             =  0.09796
  Geometric Albedo      = 0.47            Rocky core mass (Mc/M) =  0.1027
  Sid. rot. period (III)= 10h 39m 22.4s   Sid. rot. rate (rad/s) =  0.000163785 
  Mean solar day, hrs   =~10.656         
  GM (km^3/s^2)         = 37931206.159    GM 1-sigma (km^3/s^2)  = +- 98
  Equ. grav, ge (m/s^2) = 10.44           Pol. grav, gp (m/s^2)  = 12.14+-0.01
  Vis. magnitude V(1,0) = -8.88          
  Vis. mag. (opposition)= +0.67           Obliquity to orbit     = 26.73 deg
  Sidereal orbit period = 29.447498 yr    Sidereal orbit period  = 10755.698 d
  Mean daily motion     = 0.0334979 deg/d Mean orbit velocity    =  9.68 km/s
  Atmos. temp. (1 bar)  = 134+-4 K        Escape speed, km/s    =  35.5          
  Aroche(ice)/Rp        =  2.71           Hill's sphere rad. Rp  = 1100
                                 Perihelion  Aphelion    Mean
  Solar Constant (W/m^2)         16.8        13.6        15.1
  Maximum Planetary IR (W/m^2)    4.7         4.5         4.6
  Minimum Planetary IR (W/m^2)    4.7         4.5         4.6
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Fri Mar 27 09:30:45 2020 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Saturn (699)                    {source: sat427l_merged_DE438}
Center body name: Sun (10)                        {source: sat427l_merged_DE438}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1979-May-07 00:00:00.0000 TDB
Stop  time      : A.D. 2051-Jun-08 00:00:00.0000 TDB
Step-size       : 576000 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 696000.0 x 696000.0 x 696000.0 k{Equator, meridian, pole}    
Keplerian GM    : 2.9599678443364383E-04 au^3/d^2
Output units    : AU-D, deg, Julian Day Number (Tp)                            
Output type     : GEOMETRIC osculating elements
Output format   : 10
Reference frame : ICRF/J2000.0                                                 
Coordinate systm: Ecliptic and Mean Equinox of Reference Epoch                 
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                     EC,                     QR,                     IN,                     OM,                      W,                     Tp,                      N,                     MA,                     TA,                      A,                     AD,                     PR,
**************************************************************************************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2444000.500000000, A.D. 1979-May-07 00:00:00.0000,  5.673503937342281E-02,  9.036526629168190E+00,  2.485003298365713E+00,  1.137325208487062E+02,  3.417609656037540E+02,  2.442142515069380E+06,  3.324408491423984E-02,  6.176700880289683E+01,  6.768288133796663E+01,  9.580051211873224E+00,  1.012357579457826E+01,  1.082899411816256E+04,
2444400.500000000, A.D. 1980-Jun-10 00:00:00.0000,  5.531587261206641E-02,  9.047054077179663E+00,  2.484292147049515E+00,  1.136971752342842E+02,  3.419604937919818E+02,  2.442143694584485E+06,  3.326099808052093E-02,  7.506360059356469E+01,  8.128692641471139E+01,  9.576803309054116E+00,  1.010655254092857E+01,  1.082348759133694E+04,
2444800.500000000, A.D. 1981-Jul-15 00:00:00.0000,  5.353730367731542E-02,  9.060676806659135E+00,  2.484110524768713E+00,  1.136460077283409E+02,  3.418511282830665E+02,  2.442134169320288E+06,  3.327977810730039E-02,  8.873489338151172E+01,  9.486567487107453E+01,  9.573200129136428E+00,  1.008572345161372E+01,  1.081737981663492E+04,
2445200.500000000, A.D. 1982-Aug-19 00:00:00.0000,  5.199901366810420E-02,  9.075214451581596E+00,  2.484727825636194E+00,  1.136246970029778E+02,  3.416803261324350E+02,  2.442123072094983E+06,  3.328081615976466E-02,  1.024193123517874E+02,  1.081487132617490E+02,  9.573001064794624E+00,  1.007078767800765E+01,  1.081704241481996E+04,
2445600.500000000, A.D. 1983-Sep-23 00:00:00.0000,  5.112658140863276E-02,  9.080844193123486E+00,  2.485351272509758E+00,  1.136384586897318E+02,  3.409681627188060E+02,  2.442099834381875E+06,  3.329578155488782E-02,  1.165573977178080E+02,  1.216455024266662E+02,  9.570132343473473E+00,  1.005942049382346E+01,  1.081218049819744E+04,
2446000.500000000, A.D. 1984-Oct-27 00:00:00.0000,  5.101886361950048E-02,  9.075168989535928E+00,  2.485247876383444E+00,  1.136799487863541E+02,  3.398325525738909E+02,  2.442068677350025E+06,  3.333269414379825E-02,  1.310582418192877E+02,  1.352853033332660E+02,  9.563065736110886E+00,  1.005096248268584E+01,  1.080020710138068E+04,
2446400.500000000, A.D. 1985-Dec-01 00:00:00.0000,  5.173925823627359E-02,  9.057552051481240E+00,  2.484449794671839E+00,  1.137165550842605E+02,  3.386706878352284E+02,  2.442041100520585E+06,  3.339193049708865E-02,  1.455687644256783E+02,  1.487493460564901E+02,  9.551752648363955E+00,  1.004595324524667E+01,  1.078104783523634E+04,
2446800.500000000, A.D. 1987-Jan-05 00:00:00.0000,  5.299505849815383E-02,  9.033274630121099E+00,  2.483388072178975E+00,  1.137342435041101E+02,  3.379962119634420E+02,  2.442030724388591E+06,  3.346005695766491E-02,  1.595969636330190E+02,  1.615896437348710E+02,  9.538782992827169E+00,  1.004429135553324E+01,  1.075909704683072E+04,
