*******************************************************************************
 Revised: September 10, 2019           Uranus                               799
 
 PHYSICAL DATA (updated 2018-Aug-15):
  Mass x10^24 (kg)      = 86.813          Density (g/cm^3)       =  1.271
  Equat. radius (1 bar) = 25559+-4 km     Polar radius (km)      = 24973+-20
  Vol. Mean Radius (km) = 25362+-12       Flattening             =  0.02293
  Geometric Albedo      = 0.51
  Sid. rot. period (III)= 17.24+-0.01 h   Sid. rot. rate (rad/s) = -0.000101237
  Mean solar day, h     =~17.24           Rocky core mass (Mc/M) =  0.0012        
  GM (km^3/s^2)         = 5793951.322     GM 1-sigma (km^3/s^2)  = +-4.3 
  Equ. grav, ge (m/s^2) =  8.87           Pol. grav, gp (m/s^2)  =   9.19+-0.02
  Visual magnitude V(1,0)= -7.11
  Vis. mag. (opposition)=  +5.52          Obliquity to orbit     = 97.77 deg
  Sidereal orbit period = 84.0120465 y    Sidereal orbit period  = 30685.4 d
  Mean daily motion     = 0.01176904 dg/d Mean orbit velocity    =  6.8 km/s
  Atmos. temp. (1 bar)  =  76+-2 K        Escape speed, km/s     =  21.3           
  Aroche(ice)/Rp        =  2.20           Hill's sphere rad., Rp = 2700
                                 Perihelion   Aphelion    Mean
  Solar Constant (W/m^2)         4.09         3.39        3.71
  Maximum Planetary IR (W/m^2)   0.72         0.55        0.63
  Minimum Planetary IR (W/m^2)   0.72         0.55        0.63
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Sat Apr  4 10:04:21 2020 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Uranus (799)                    {source: ura111}
Center body name: Sun (10)                        {source: DE431mx}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1979-May-07 00:00:00.0000 TDB
Stop  time      : A.D. 2051-Jun-08 00:00:00.0000 TDB
Step-size       : 576000 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 696000.0 x 696000.0 x 696000.0 k{Equator, meridian, pole}    
Keplerian GM    : 2.9592512720208388E-04 au^3/d^2
Output units    : AU-D, deg, Julian Day Number (Tp)                            
Output type     : GEOMETRIC osculating elements
Output format   : 10
Reference frame : ICRF/J2000.0                                                 
Coordinate systm: Ecliptic and Mean Equinox of Reference Epoch                 
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                     EC,                     QR,                     IN,                     OM,                      W,                     Tp,                      N,                     MA,                     TA,                      A,                     AD,                     PR,
**************************************************************************************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2444000.500000000, A.D. 1979-May-07 00:00:00.0000,  4.943852557751297E-02,  1.826893977267558E+01,  7.722452889874958E-01,  7.408366696840974E+01,  9.691520679465417E+01,  2.439426253269684E+06,  1.169806016860920E-02,  5.350981347729910E+01,  5.823254544136945E+01,  1.921910393409838E+01,  2.016926809552118E+01,  3.077433307840483E+04,
2444400.500000000, A.D. 1980-Jun-10 00:00:00.0000,  5.032768361170161E-02,  1.829151448855224E+01,  7.729468171455197E-01,  7.406673576774294E+01,  9.916995939283288E+01,  2.439599829845693E+06,  1.166003148449318E-02,  5.597596514587950E+01,  6.092371856929025E+01,  1.926086943138108E+01,  2.023022437420992E+01,  3.087470222346899E+04,
2444800.500000000, A.D. 1981-Jul-15 00:00:00.0000,  5.051533362112652E-02,  1.831799250657360E+01,  7.741365027155668E-01,  7.404689374958743E+01,  1.012078230214051E+02,  2.439754084254766E+06,  1.163131109441149E-02,  5.869643144454712E+01,  6.380312787840678E+01,  1.929256275031214E+01,  2.026713299405068E+01,  3.095093898511319E+04,
2445200.500000000, A.D. 1982-Aug-19 00:00:00.0000,  5.002019141303710E-02,  1.834611120821654E+01,  7.742053819724619E-01,  7.405321065977377E+01,  1.028162966354535E+02,  2.439874696729125E+06,  1.161365935080772E-02,  6.185206495736623E+01,  6.705229657987310E+01,  1.931210647045779E+01,  2.027810173269904E+01,  3.099798169772926E+04,
2445600.500000000, A.D. 1983-Sep-23 00:00:00.0000,  4.892197562336004E-02,  1.836911446625513E+01,  7.749249447993418E-01,  7.405117370878227E+01,  1.035628279798825E+02,  2.439925697726508E+06,  1.161195766162185E-02,  6.589556373786075E+01,  7.113637257816984E+01,  1.931399316927199E+01,  2.025887187228886E+01,  3.100252433659999E+04,
2446000.500000000, A.D. 1984-Oct-27 00:00:00.0000,  4.756382472553642E-02,  1.838258716249563E+01,  7.759073619106155E-01,  7.405431912059045E+01,  1.033268784183646E+02,  2.439899785756839E+06,  1.162404885436791E-02,  7.091500040904522E+01,  7.616050831478471E+01,  1.930059739404409E+01,  2.021860762559254E+01,  3.097027589183993E+04,
2446400.500000000, A.D. 1985-Dec-01 00:00:00.0000,  4.630805845964224E-02,  1.837526836327900E+01,  7.750985307848068E-01,  7.405808781487099E+01,  1.016124664339473E+02,  2.439760198090901E+06,  1.165400466508193E-02,  7.738610942618993E+01,  8.262349274607962E+01,  1.926750931081597E+01,  2.015975025835293E+01,  3.089066894564084E+04,
2446800.500000000, A.D. 1987-Jan-05 00:00:00.0000,  4.568552187817579E-02,  1.834606131974915E+01,  7.743388482481670E-01,  7.405361856646149E+01,  9.893750201694117E+01,  2.439550045273777E+06,  1.169328572394849E-02,  8.478163874227641E+01,  9.001503911393780E+01,  1.922433510162795E+01,  2.010260888350676E+01,  3.078689843887934E+04,
